frequency	alpha_c	alpha_d	Er_right	Er_wrong
8.525E+00	0.855441743	0.4769259	1.884509176	1.872794201
8.547E+00	0.856544957	0.478156821	1.884428608	1.872794201
8.569E+00	0.857646752	0.479387742	1.884402931	1.872794201
8.591E+00	0.858747133	0.480618663	1.884424169	1.872794201
8.613E+00	0.859846106	0.481849585	1.884474003	1.872794201
8.635E+00	0.860943677	0.483080506	1.884554751	1.872794201
8.657E+00	0.86203985	0.484311427	1.884545398	1.872794201
8.679E+00	0.86313463	0.485542348	1.884568825	1.872794201
8.701E+00	0.864228024	0.486773269	1.884630356	1.872794201
8.723E+00	0.865320036	0.48800419	1.884594133	1.872794201
8.745E+00	0.866410672	0.489235111	1.88462471	1.872794201
8.767E+00	0.867499937	0.490466032	1.884592436	1.872794201
8.789E+00	0.868587836	0.491696953	1.8845997	1.872794201
8.811E+00	0.869674374	0.492927874	1.884615364	1.872794201
8.833E+00	0.870759556	0.494158795	1.884654682	1.872794201
8.855E+00	0.871843387	0.495389716	1.884716294	1.872794201
8.877E+00	0.872925873	0.496620637	1.884753381	1.872794201
8.899E+00	0.874007018	0.497851558	1.884782168	1.872794201
8.921E+00	0.875086827	0.499082479	1.884764154	1.872794201
8.943E+00	0.876165306	0.5003134	1.884738415	1.872794201
8.965E+00	0.877242459	0.501544321	1.884503886	1.872794201
8.987E+00	0.87831829	0.502775243	1.884270534	1.872794201
9.009E+00	0.879392806	0.504006164	1.884165994	1.872794201
9.031E+00	0.88046601	0.505237085	1.884089281	1.872794201
9.053E+00	0.881537907	0.506468006	1.884133752	1.872794201
9.075E+00	0.882608503	0.507698927	1.884130864	1.872794201
9.097E+00	0.883677802	0.508929848	1.884184228	1.872794201
9.119E+00	0.884745809	0.510160769	1.884156349	1.872794201
9.141E+00	0.885812527	0.51139169	1.884159335	1.872794201
9.163E+00	0.886877963	0.512622611	1.884162693	1.872794201
9.185E+00	0.88794212	0.513853532	1.884164009	1.872794201
9.207E+00	0.889005004	0.515084453	1.884202533	1.872794201
