frequency	alpha	beta
1.048314263e+10	1.540941	301.286571
1.050514503e+10	1.543502	301.920276
1.052714743e+10	1.545202	302.552233
1.054914983e+10	1.547875	303.185044
1.057115223e+10	1.551013	303.816834
1.059315463e+10	1.552631	304.448434
1.061515703e+10	1.555736	305.081266
1.063715943e+10	1.558771	305.711585
1.065916183e+10	1.562135	306.341344
1.068116423e+10	1.56374	306.970894
1.070316663e+10	1.563917	307.605381
1.072516903e+10	1.56473	308.235984
1.074717143e+10	1.569009	308.8686
1.076917383e+10	1.571226	309.499496
1.079117624e+10	1.573847	310.130992
1.081317864e+10	1.577353	310.763465
1.083518104e+10	1.581856	311.39469
1.085718344e+10	1.585216	312.022452
1.087918584e+10	1.587352	312.650214
1.090118824e+10	1.586613	313.279628
1.092319064e+10	1.588219	313.909692
1.094519304e+10	1.588558	314.540826
1.096719544e+10	1.589162	315.17252
1.098919784e+10	1.591738	315.805448
1.101120024e+10	1.594316	316.43626
1.103320264e+10	1.59744	317.066879
1.105520504e+10	1.601778	317.698394
1.107720744e+10	1.60443	318.326472
1.109920984e+10	1.606275	318.954438
1.112121224e+10	1.607631	319.585836
1.114321464e+10	1.607905	320.214382
1.116521704e+10	1.610058	320.846104
1.118721944e+10	1.610423	321.477906
1.120922184e+10	1.615672	322.109087
1.123122424e+10	1.615896	322.739745
1.125322665e+10	1.619779	323.371885
1.127522905e+10	1.624338	324.003844
1.129723145e+10	1.629674	324.631317
1.131923385e+10	1.632473	325.263053
1.134123625e+10	1.636505	325.890598
1.136323865e+10	1.636796	326.517748
1.138524105e+10	1.636654	327.147552
1.140724345e+10	1.638065	327.777287
1.142924585e+10	1.638077	328.409558
1.145124825e+10	1.641417	329.039653
1.147325065e+10	1.646336	329.666121
1.149525305e+10	1.646922	330.299733
1.151725545e+10	1.648159	330.928601
1.153925785e+10	1.649626	331.559787
1.156126025e+10	1.651124	332.191474
1.158326265e+10	1.652937	332.823634
1.160526505e+10	1.652834	333.456831
1.162726745e+10	1.659258	334.086049
1.164926985e+10	1.659456	334.721566
1.167127225e+10	1.661417	335.355387
1.169327465e+10	1.663953	335.986415
1.171527706e+10	1.665606	336.620075
1.173727946e+10	1.667747	337.25222
1.175928186e+10	1.671495	337.884891
1.178128426e+10	1.673013	338.517414
1.180328666e+10	1.675916	339.149507
1.182528906e+10	1.680768	339.7816
1.184729146e+10	1.682924	340.414237
1.186929386e+10	1.687078	341.044053
1.189129626e+10	1.692244	341.676049
1.191329866e+10	1.694449	342.30593
1.193530106e+10	1.695667	342.934431
1.195730346e+10	1.695602	343.566147
1.197930586e+10	1.695022	344.198208
1.200130826e+10	1.696056	344.831664
1.202331066e+10	1.698633	345.464688
1.204531306e+10	1.7006	346.097667
1.206731546e+10	1.700177	346.7298
1.208931786e+10	1.701804	347.363547
1.211132026e+10	1.703671	347.997162
1.213332266e+10	1.706243	348.628662
1.215532507e+10	1.707944	349.26219
1.217732747e+10	1.710846	349.895043
1.219932987e+10	1.712973	350.527522
1.222133227e+10	1.717834	351.1619
1.224333467e+10	1.724212	351.794688
1.226533707e+10	1.730266	352.423391
1.228733947e+10	1.733623	353.051394
1.230934187e+10	1.736438	353.678979
1.233134427e+10	1.735748	354.306386
1.235334667e+10	1.735772	354.934702
1.237534907e+10	1.73369	355.566807
1.239735147e+10	1.733347	356.197184
1.241935387e+10	1.733751	356.828495
1.244135627e+10	1.733829	357.460116
1.246335867e+10	1.735967	358.092688
